Equipo,Componente,Id,Resultado,Horas Funcionamiento,Horas del Aceite,Fecha de Análisis,B,Nit,Oxi,Sul,St,V,Al,Cr,Cu,Fe,Pb,Mo,Ni,Sn,Si,K,Na,W,F,A,ISO,PQI,Ba,Ca,Mg,Mn,P,Zn,Ag,Ti,V40,V100,TBN,TAN,ISO14,ISO4,ISO6
1355,Masa Izquierda,278695,2,22349,399,2019-03-14 00:00:00.000,112,NULL,NULL,NULL,NULL,0,1,0,0,29,0,0,4,0,22,1,8,N,NULL,NULL,232116,18,0,278,3,0,319,0,0,0,NULL,24.9,NULL,NULL,16,23,21
1355,Motor,283998,3,22729,380,2019-04-03 00:00:00.000,100,6,12,17,28,0,2,1,3,50,1,66,0,0,5,0,3,N,N,N,NULL,2,0,2045,410,1,1129,1334,0,0,NULL,14.1,9.8,NULL,NULL,NULL,NULL
1355,Motor,294825,2,23153,424,2019-05-12 00:00:00.000,105,8,20,26,52,0,2,1,4,37,1,64,0,0,7,2,2,N,N,N,NULL,4,1,2021,434,1,1128,1331,0,0,NULL,14.3,9.6,NULL,NULL,NULL,NULL
1355,Sist. Hidráulico,217230,3,27489,1000,2018-07-10 00:00:00.000,9,NULL,NULL,NULL,NULL,0,1,0,6,19,1,1,1,0,7,9,13,N,NULL,NULL,201713,2,0,3304,11,0,894,1117,0,0,NULL,6.9,NULL,NULL,13,20,17
1355,Sist. Hidráulico,278679,1,22349,399,2019-03-14 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,0,1,6,0,0,1,0,17,1,3,N,NULL,N,211915,4,11,3267,11,0,979,1186,0,0,NULL,6.4,NULL,NULL,15,21,19
1355,Sist. Hidráulico,294785,1,23153,1203,2019-05-12 00:00:00.000,2,NULL,NULL,NULL,NULL,0,2,0,1,6,0,1,2,0,14,1,2,N,NULL,N,20/17/12,3,6,3438,11,0,942,1168,0,0,NULL,6.7,NULL,NULL,12,20,17
1356,Diferencial Trasero,295717,1,28295,NULL,2019-05-17 00:00:00.000,100,3,6,11,0,0,0,0,13,11,1,0,0,1,8,0,5,N,NULL,NULL,22/18/12,5,0,375,3,0,319,34,0,0,NULL,25.5,NULL,NULL,12,22,18
1356,Mando Final TD,155973,1,27624,258,2017-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,1,1,17,9,2,0,0,1,10,1,2,N,NULL,NULL,211914,40,0,2127,7,0,780,934,0,0,NULL,24.6,NULL,NULL,14,21,19
1356,Masa Derecha,155976,1,27624,663,2017-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,0,1,0,16,0,0,1,0,11,0,0,N,NULL,NULL,211914,41,0,44,0,0,411,20,0,0,339.6,38.4,NULL,NULL,14,21,19
1356,Motor,297284,2,28377,82,2019-05-22 00:00:00.000,108,6,18,24,14,0,2,0,0,14,0,61,0,0,4,1,2,N,N,N,NULL,30,0,1808,433,0,1046,1181,0,0,NULL,14.3,9.9,NULL,NULL,NULL,NULL
1356,Transmisión,295759,1,28295,NULL,2019-05-17 00:00:00.000,5,NULL,NULL,NULL,NULL,0,1,0,7,7,0,1,0,0,5,1,5,N,NULL,N,22/18/12,6,0,2778,10,0,907,1137,0,0,NULL,10.8,NULL,NULL,12,22,18
1359,Convertidor,205029,2,44460,NULL,2018-05-19 00:00:00.000,3,NULL,NULL,NULL,NULL,0,1,0,1,3,0,0,0,0,6,0,2,N,NULL,NULL,222017,2,0,3188,11,0,860,1097,0,0,NULL,11.2,NULL,NULL,17,22,20
1359,Convertidor,207525,1,43505,211,2018-03-21 00:00:00.000,1.5,NULL,NULL,NULL,NULL,0.1,0.9,0.1,1.7,2.9,0.1,1.8,0.1,0.1,5,0.3,2.8,NULL,NULL,NULL,19/17/14,0,0.1,1987,9.3,0.1,804,1213,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Convertidor,207528,1,44238,944,2018-05-02 00:00:00.000,1.2,NULL,NULL,NULL,NULL,0.1,0.1,0.1,1.3,3.7,0.1,0.1,0.6,0.1,3.9,0.4,3.3,NULL,NULL,NULL,20/18/14,0,0.1,1924,10.9,0.1,796,1235,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Diferencial Trasero,253188,1,47118,2822,2018-11-04 00:00:00.000,69.5,NULL,NULL,NULL,NULL,0.2,0.6,0.1,58.6,38.2,3.1,0.1,1,1.5,4.9,0.9,8.8,NULL,NULL,NULL,21/18/13,8,0.1,264,2.7,1.2,132,32,0.2,0.3,24.11,NULL,NULL,NULL,NULL,NULL,NULL
1359,Diferencial Trasero,253189,1,47386,3090,2018-11-24 00:00:00.000,78.4,NULL,NULL,NULL,NULL,0.1,0.6,0.4,60,39.1,6.4,1.1,0.7,2.2,4.3,0.2,8.8,NULL,NULL,NULL,18/15/10,7,0.1,279,3.2,0.9,205,40,0.1,0.1,24.39,NULL,NULL,NULL,NULL,NULL,NULL
1359,Diferencial Trasero,269035,3,48385,85,2019-01-28 00:00:00.000,70.9,NULL,12.4,NULL,NULL,0.1,0.1,0.1,20,12.5,0.2,0.3,1.3,0.1,0.1,0.2,5.9,NULL,NULL,NULL,18/17/13,0,0.1,475,2.7,0.1,295,173,0.1,0.1,20.95,NULL,NULL,0.9,NULL,NULL,NULL
1359,Diferencial Trasero,288674,1,49535,171,2019-04-18 00:00:00.000,81.6,NULL,12.4,NULL,NULL,0.3,1,0.3,15.6,10.2,0.1,2.2,1.1,0.1,3.8,1.1,7.1,NULL,NULL,NULL,18/15/12,0,0.1,303,7.2,0.7,207,40.8,0.1,0.5,23.11,NULL,NULL,1,NULL,NULL,NULL
1359,Mando Final TD,207567,1,43266,2379,2018-03-07 00:00:00.000,196,NULL,NULL,NULL,NULL,0.1,0.6,0.5,29.3,44.2,0.1,0.1,1.1,0.1,4.7,0.1,7.7,NULL,NULL,NULL,19/17/10,0,0.1,187,1.7,0.1,298,33.4,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TD,253192,1,47118,2822,2018-11-04 00:00:00.000,75.6,NULL,NULL,NULL,NULL,0.1,0.3,0.3,58.7,40.6,4.1,1.3,1.2,0.8,4.2,0.3,8.9,NULL,NULL,NULL,19/16/12,8,0.1,262,2.2,0.9,147,36.9,0.1,0.1,24.11,NULL,NULL,NULL,NULL,NULL,NULL
